LELL  Sabadell 
5WI4  Larson 
TN04  [H] Bristol Regional Medical Center 
SNFL  Garimpo Tocantinzinho 
VTT3  Surat Thani Airstrip 
95F  Cleveland Muni 
CJY9  [S] La Loche Water Aerodrome 
KBJC  Rocky Mountain Metro 
EBHN  Hoevenen 
0H9  [H] Edw A Utlaut Meml 
SNEW  FAZENDA CONGONHAS 
CO20  Flying W Ranch 
XEP87  Kakolewo 
KBIX  Keesler AFB 
NZCB  Centre Bush 
XEG001O  [H] James Cook Hospital 
XEG0025  Portmoak 
YBLT  Ballarat 
Y83  Sandusky City 
YLBG  Mount Liebig 
2IA2  [H] Central Community Hospital 
59II  Posey Patch 
YBOO  Bindoon 
NJ04  [H] AT&T Cedarbrook 
SWHE  Agropecuaria Cajabi 
NM62  [H] Sjrmc 
SPNC  ALFEREZ FAP D F FERNANDINI 
AGKU  Kukudu 
HI13  [X] Puu Waa Waa Ranch 
EGUW  RAF Wattisham 
6NY6  [S] Firemans White Lake 
XRP001U  Tambo 
XRP002N  Digal 
6LA2  [H] Division B Office 
XRP0014  Rio Tuba 
YRIS  Robbins Island 
CAJ3  ART SUTCLIFFE FLD 
YPPS  PICCANINNY PLAINS 
CCS3  St Stephen 
XRP000Q  Camp Aquino 
SIBU  CATOLE DA ROCHA 
YPSH  PENNESHAW 
5TE  Tetlin 
SN19  Flying H Ranch 
XRP003J  Magatos 
SIAN  [H] Hospital Dom Vicente Scherer 
FYBW  Bwabwata 
P29  Tombstone Muni 
KPVD  Theodore Francis Green State 
XK0038  Lost Bridge Village 
EPWR  Wroclaw Strachowice 
HI07  [H] Waikoloa 
XK003Y  Ryan Field 
YGPI  GILES PT 
Y97  Wilson Township 
XEG0031  Glenswinton 
XEG000K  Windrush 
SWJZ  Fazenda Morro Vermelho 
NJ10  Johnson Farms 
SWIA  Iassiara 
82GA  Paces South Farms 
LEMH  Menorca 
SNGH  Guanhaes 
TN10  Lake View 
0AL9  Wilson Creek 
2Q9  Dyer 
EK45  Christianshede 
CO34  [H] St Lukes Hospital 
FY4G  Suliman 
LL07  Tautz Bros 
97Y  Genoa Muni 
VTUV  Roi Et 
79J  South Alabama Regl 
OI26  Hillcrest 
SWHR  Estancia Rio Parana 
XEG0019  Dunnyvadden 
YLAK  Lakeside Airpark 
WBMU  MULU 
5ND1  Finneman - Private 
YBLC  Balcanoona 
W67  Buckhannon-Upshur County 
NJ38  [H] Martens Stadium 
MO31  Malina 
TN38  Rutledge Field 
96J  [H] Memorial Medical Center of Jacksonvill 
SBPL  SENADOR NILO COELHO 
78Y  RANKIN 
2S1  Vashon Municipal 
0K5  Jerseyville Aviation Inc 
FY55  Westies Diamond 
RJA2  Ohotone 
YRID  Riddell 
7M3  BEARCE 
XRP002Y  Waloe 
WRKI  Mbai (Flores) (Local Gov) 
5U7  FORT SMITH LNDG STRIP 
SN31  [H] William Newton Memorial Hospital 
98OI  [H] Adams County Hospital 
SICF  [H] Vol D'Oiseau 
85CO  [H] Anderson 
XRP001B  Cagayancillo 
XRP0028  Doña Flavia 
XK002J  Gilliam-McConnell 
P01  Eric Marcus Muni 
KROS  Rush City Regl 
VA91  Johnson Fld 
SPNT  Intuto 
